"summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"C1","Dhadwal 2008","School, military station, central India","2005","98","92","5","0.054","2.62","FALSE","FALSE","98 students admitted as typhoid cases during a known outbreak; active case-finding across 3,313 students","92","5","0.054","0.939","patients","BLOOD culture only (n=92), stated verbatim; Widal serology on all 98. No stool, urine or bone marrow","No standalone syndromic definition. Confirmed = fever >=3 days + positive blood culture; probable = fever >=3 days + positive serodiagnosis without isolation; possible = admitted on clinical suspicion during the outbreak. The effective frame is admission during a known outbreak","NEAR-UNIVERSAL, NOT severity-gated. All 98 were admitted to the same military hospital; all 98 had Widal; 'Ninety two blood cultures were taken' (93.9%). The paper does not say why 6 were not cultured. No severity, consent or capacity gate described","No epidemic curve printed, though the text references a time-distribution graph showing multiple peaks","COMPATIBLE and the best available: a stated blood-only tested count over a syndromic frame, with 93.9% coverage","low","primary paper reviewed (Zotero DVZCQ6W9); MJAFI 2008;64:241-242","eligible: 5/92 with a stated blood-only denominator and 93.9% coverage","candidate: lowest verification-bias risk of ANY outbreak study located in this project","PRIMARY NEW CANDIDATE","Dhadwal 2008","THE FIND. 93.9% of suspected cases blood-cultured - better coverage than all three current anchors (Aye 44.9%, Neil 9.4%, Kabwama 3.6%). Positivity 5/92 = 5.4% implies pi ~0.09 at Se_BC 0.62, FAR below Aye 0.26 / Neil 0.58 / Kabwama 0.25. TWO COMPETING EXPLANATIONS THE MODEL CANNOT SEPARATE: (a) genuinely low pi because the denominator is loose - 86/98 were 'probable' on Widal alone at 1/160 H, 1/200 O, so the frame is closer to 'febrile children admitted during an outbreak' than a typhoid syndrome; (b) antibiotic-depressed Se_BC - the authors attribute the low yield to prior antibiotic therapy. Also: the paper reports the same 5 cases as 5.43% (of 92) in the text and 5.10% (of 98) in Table 1."
"C2","Aypak 2010","Ercek Village, Van, Eastern Anatolia, Turkey","2008","867",,"34","0.221",,"FALSE","FALSE","867 suspected village residents, but culture appears confined to the 154 (17.8%) hospitalised","154","34","0.221","0.178","patients","blood culture (Bactec 9050) AND stool culture, reported separately; Widal on all 154 inpatients","Stepladder fever, headache, malaise with loss of appetite, usually with gastrointestinal symptoms, plus >=2 of: toxic look, relative bradycardia, rose spots on trunk, splenic enlargement, non-productive cough","SEVERITY-GATED (inferred, never stated). '154 (17.8%) were hospitalized by the treating physician' with no criteria given. All lab work is framed around the 154 inpatients; no lab data of any kind are reported for the 713 non-hospitalised. The paper never states how many of the 154 actually had blood drawn","No epidemic curve; tables only","Blood numerator (34) is recoverable, but the denominator of 154 is INFERRED from percentage arithmetic, not reported. Frame is hospitalised suspects, not all 867","high","primary paper reviewed (Zotero JF9DVMSN); Trop Doct 2010;40:160-162","marginal: usable only as a HOSPITALISED PPV (34/154 = 22.1%)","candidate with explicit severity selection","sensitivity only (severity-gated denominator)","Aypak 2010","RESOLVED the abstract's '42 (27.3%) cultures': it is POOLED blood+stool. Text says '34 (22%) cases were confirmed by blood culture and eight (5.2%) by stool culture'; 34/154=22.1%, 8/154=5.2%, 42/154=27.3% - all resolve against 154, confirming the denominator. DO NOT use 42 as a blood numerator. Population 4,700; implied attack rate 18.4%; no deaths. Paper has several internal contradictions (Table 1 ALT >2xULN 12 < ALT >5xULN 13, impossible; ciprofloxacin n=17 in text vs n=15 in Table 2)."
"C3","Kato 2007","Tokyo, Japan (exposure: Dhaka, Bangladesh)","2004","8","8","6","0.75","62","FALSE","FALSE","8 tour participants with fever >38 C for >3 days, defined independently of culture","8","6","0.75","1","patients","BLOOD culture only; stool mentioned only post-treatment for carriage","Confirmed = fever >38 C for >3 days AND a positive blood culture for S. Typhi; probable = fever >38 C for >3 days WITHOUT isolation of S. Typhi","Not reported. All 8 were admitted across 5 Tokyo hospitals. The 'probable' definition ('without isolation') implies culture was attempted and failed, but this is never stated","No figure, but the table is a full line list with individual onset dates","Syndromic frame is defined independently of culture - rare and valuable - but blood_tested=8 is INFERRED from the probable-case wording, not reported","low","primary paper reviewed (Zotero B5JQCPES); Emerg Infect Dis 2007;13:1954-1955","not eligible under the n>=20 rule (n=8)","candidate on structure, fails on size","sensitivity only (fails n>=20)","Kato 2007","6/8 = 75%. Returning-traveler cohort of 13 (attack rate 62%), non-endemic host population, point-source - a different estimand from endemic community surveillance. Structurally clean but tiny."
"C4","Valenciano 2000","Floating restaurant, Paris, France","1998","27",,"14",,"18.4","FALSE","FALSE","27 guests meeting the typhoid syndromic definition, out of a 147-guest retrospective cohort",,"14",,,"patients","blood AND stool, and SEPARABLE: 14 blood-positive, 6 stool-positive, 5 both (union = the 15 'confirmed')","Probable: fever >=38 C for >2 days, no other cause checked by the practitioner, onset >10 days after the supper, AND either a negative stool/blood culture OR no specimen tested. Confirmed: the same fever plus a stool or blood specimen positive for S. typhi","Not reported, and the definition itself concedes incomplete testing: probables include those who 'did not have a specimen tested'. Case-finding was via press release plus telephone interview advising specimen submission - i.e. self-selection. 21 of 27 were hospitalised","Epidemic curve DOES exist (Fig 2, typhoid by 3-day interval, probable vs confirmed; Fig 1, gastroenteritis daily)","Blood numerator is clean (14) but there is NO blood-culture denominator: the count cultured among the 27 is never reported, and the probable definition explicitly includes untested patients","high","primary paper reviewed (Zotero ED36QT97, attached by JK 2026-07-16 and verified). Supersedes JEMF2WZ7 and AW7IPIVI, which BOTH still contain Borgdorff 2001 (M. tuberculosis) via an OUP volume 152/154 same-page collision","not eligible: no blood-culture denominator","not eligible","exclude (denominator absent, not specimen pooling)","Valenciano 2000","CORRECTS MY EARLIER READING: the 15 'confirmed by stool or blood culture' CAN be split - 'S. typhi was isolated in six stool cultures and in 14 blood cultures (five cases with both cultures positive)'; 14+6-5=15. So blood-positive = 14, not an unsplittable pooled 15. Ineligible anyway because the blood-tested count among the 27 is never given. Cohort: 199 identified, 157 (79%) interviewed, 147 (94%) analysed. Gastroenteritis 133 (90.5%); typhoid 27 (18.4%); ALL typhoid cases had preceding gastroenteritis. Strong age gradient: typhoid attack rate 42% (16-19y), 32% (20-29y), 9% (30-39y), 0% (>=40y) - the authors read this as lower population immunity in the young in a low-endemicity country. 21/27 hospitalised, 2 severe (ICU 23d and 38d). Single phage type DVS / ribotype TP7, fully antibiotic-sensitive. NOTE: Koh excluded this study as 'no time-series data available', yet Figs 1 and 2 ARE epidemic curves. A plausible explanation is that the reviewers downloaded the OUP link and received the Borgdorff TB paper, as both prior library copies did."
"C5","Getahun Strobel 2021","Fiji (Central, Northern, Western Divisions)","2016",,"125","49",,,"FALSE","FALSE","None - a designed case-control sample, not a consecutive series","125","49",,,"patients","blood culture (reference standard); RDTs on stored serum","No syndromic definition. Cases were blood-culture-confirmed typhoid; controls were febrile patients in four pre-specified diagnostic groups","Retrospective selection of archived sera by KNOWN diagnosis. The authors concede: 'the design with previously collected cases and controls, rather than consecutive patients presenting with fever'","No epidemic curve","pi = 1 by construction. The apparent 49/125 = 39.2% positivity is an artifact of the fixed 49:76 case:control design and must NOT be used","unassessable","primary paper reviewed (Zotero GZKSXPCW); Am J Trop Med Hyg 2021;106:543-549","not eligible: culture-defined cases in a design-fixed ratio","not eligible","exclude, but retain for two secondary numbers","Getahun Strobel 2021","SECONDARY VALUE despite being ineligible. (1) RDT accuracy vs blood culture: TUBEX Se 77.6/Sp 60.5; Typhidot Rapid 75.5/85.5; Test-It 57.1/93.4 - directly relevant to any future serology-informed PPV layer. (2) Cites background blood-culture positivity in Fiji health facilities = 20% (MHMS 2016 CWMH Pathology report), a facility-level positivity that could inform an endemic-surveillance prior."
"C6","Johnston 2023","Nursing School, Malosa, Malawi","2016","101",,"9",,"24.8","FALSE","FALSE","101/407 nursing-school residents met the clinical case definition for probable typhoid - a clean syndromic frame - but the 9 confirmed cases come from a DIFFERENT, wider population",,,,,"patients","acute phase: blood culture (count of tested NOT reported); follow-up: stool culture + PCR + serology only","Acute definition not printed; the paper says residents 'met the clinical case definition for probable typhoid fever' without stating it. Follow-up used WHO suspected typhoid (self-reported fever >=3 days)","Acute: not reported. Follow-up stool sampling was deliberately non-random - participants in the top and bottom 10% of anti-Vi IgG were approached","No epidemic curve","DENOMINATOR MISMATCH: the 9 blood-culture-confirmed cases were hospital presenters traced across a primary school, a secondary school AND the nursing school - they are not a subset of the 101. 9/101 would be an invalid PPV","unassessable","primary paper reviewed (Zotero XCZ6SHKN); BMC Infect Dis 2023;23:416","not eligible: numerator and denominator are from different populations","not eligible","exclude, but retain for the antibiotic finding","Johnston 2023","CARRIES THE MOST IMPORTANT SIDE-FINDING IN THIS AUDIT: 140/156 (90%) of suspected-typhoid participants had received antibiotics versus 16/212 (7.5%) of non-cases - a 12-fold difference. This quantifies S9 limitation 4 (prior antimicrobial use depresses Se_BC in outbreak settings) with real data. Follow-up recovered ZERO S. Typhi from 49 stool cultures."
"C7","Batool 2022","Lyari Town, Karachi, Pakistan","2019","82",,"82",,,"FALSE","FALSE","None - cases enrolled BY blood-culture confirmation",,,,,"patients","blood culture","'We enrolled 82 patients with blood culture-confirmed Salmonella typhi' - culture-defined","Age-matched case-control design; cases are confirmed by definition","not assessed","pi = 1 by construction","unassessable","abstract screened (Covidence export); Am J Trop Med Hyg, doi 10.4269/ajtmh.21-1323","not eligible: culture-defined cases","not eligible","exclude","Batool 2022","Case-control risk-factor study, not a PPV study. Excluded on the abstract alone."
"C8","Kariuki 2004","Three regions, Kenya","2004",,,"102",,,"FALSE","FALSE","None - an isolate series",,,,,"patients","isolates only","None; 102 S. Typhi isolates characterised by susceptibility, plasmid analysis and PFGE","Not applicable - isolates, not patients","not assessed","No denominator of any kind","unassessable","abstract screened (Covidence export); J Clin Microbiol 2004;42:1477-1482","not eligible: isolate series","not eligible","exclude","Kariuki 2004","Molecular characterisation of 102 isolates from Kenyan outbreaks. No case series, no denominator."
"C9","Keddy 2016","South Africa (nationwide)","2003-2013",,,,,,"FALSE","FALSE","None - surveillance for CULTURE-CONFIRMED typhoid only",,,,,"patients","blood culture (confirmed cases only)","Nationwide active laboratory-based surveillance for culture-confirmed typhoid fever","Confirmed-case surveillance; no suspected frame captured","not assessed","pi = 1 by construction: only confirmed cases enter","unassessable","abstract screened (Covidence export); PLoS One 2016;11:e0164939","not eligible: confirmed-case surveillance","not eligible","exclude","Keddy 2016","Incidence and mortality in an endemic HIV setting. No syndromic denominator."
"C10","Iseri 2009","Battalgazi district, Malatya, Turkey","2009","10",,,,,"FALSE","FALSE","10 patients over two days",,,,,"patients","not assessed","not assessed","not assessed","not assessed","n far below the >=20 threshold","unassessable","abstract screened (Covidence export); Braz J Microbiol 2009;40:1000-1029","not eligible: n=10","not eligible","exclude","Iseri 2009","AP-PCR molecular typing of a well-water outbreak affecting 10 patients. Fails n>=20 on the case count alone."
