study_id,renewal_set,type,rho_scale,d_delay,invariance_status,delay_for_reconstruction,pool_pct_reduction,pool_absolute_cost,pool_theta,daly_mapping,recommendation
Aye 2004,Y,C,suspected for curve; confirmed:suspected (3/49) calibrates rho,incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha (empirical),yes,morbidity-dominated,use suspected for dynamics + confirmed for rho
Lewis 2005,Y,A,PPV (suspected->true; alpha),incubation ~2 wk,holds,incubation GI ~2 wk,yes (reference),harmonize via alpha,yes,morbidity-dominated,pool as reference
Muyembe-Tamfum 2009,Y,D,perforation rate (~1-3% of infections),incubation + complication ~3-4 wk (severity-filtered),N/A (different observation process),long ~3-4 wk; reconstruction inappropriate,NO (perforation curve != infection),NO (perforation subset; carries real mortality),NO/exclude (curve distorted),real mortality (YLL); perforation stratum,EXCLUDE from renewal/theta/%-reduction (sensitivity case); keep for perforation-mortality subgroup with Walters Kasese
Neil 2012,Y,A,PPV (suspected->true; alpha),incubation ~2 wk,VIOLATED (ascertainment ramped up; early IP-skewed),incubation GI ~2 wk (early phase biased),CAUTION (invariance violated),harmonize via alpha,CAUTION (early IP-skew distorts curve),morbidity + notable perforation mortality,include with caution; flag mid-outbreak ascertainment change; consider trimming IP-skewed early phase
Ali 2017,Y,A,PPV (suspected->true; alpha),incubation ~2 wk,VIOLATED (switched lab-confirmed->clinical),incubation GI ~2 wk,CAUTION,harmonize via alpha,CAUTION,morbidity-dominated,include with caution; flag definition switch
"Polonsky 2014, Dzivaresekwa",Y,A,PPV (suspected->true; alpha),incubation ~2 wk,holds,incubation GI ~2 wk,yes (reference),harmonize via alpha,yes,morbidity-dominated,pool as reference
Polonsky 2014_Kuwadzana,Y,A,PPV (suspected->true; alpha),incubation ~2 wk,holds,incubation GI ~2 wk,yes (reference),harmonize via alpha,yes,morbidity-dominated,pool as reference
Muti 2014,Y,A,PPV (suspected->true; alpha),incubation ~2 wk,holds,incubation GI ~2 wk,yes (reference),harmonize via alpha,yes,morbidity-dominated,pool as reference
Kabwama 2017,Y,C,suspected for curve; confirmed:suspected (~0.5%) calibrates rho,incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha (empirical),yes,morbidity-dominated,use suspected for dynamics + confirmed for rho
Qamar 2018,Y,B,symptomatic x cultured x sensitivity (confirmed-only),incubation + culture turnaround ~2-3 wk,holds if culture effort time-constant,incubation GI ~2 wk,yes (confirmed curve ~ constant fraction),harmonize to true-case by scaling UP 1/conf-fraction (OPPOSITE of alpha),yes,morbidity-dominated,use for dynamics; harmonize absolute to true-case (different scale than alpha)
Davis 2018,Y,F,unknown (PDF misfiled),unknown,unknown,unknown,flag for human review,flag,flag,unknown,obtain correct PDF; provisional analogy to N'Cho (C)
Yousafzai 2019,Y,B,symptomatic x cultured x sensitivity (confirmed-only),incubation + culture turnaround ~2-3 wk,holds if culture effort time-constant,incubation GI ~2 wk,yes,harmonize to true-case by scaling UP 1/conf-fraction (OPPOSITE of alpha),yes,morbidity-dominated,use for dynamics; harmonize absolute to true-case
N'Cho 2019,Y,C,suspected for curve; confirmed:suspected (191/3187 ~6%) calibrates rho,incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha (empirical),yes,morbidity-dominated,use suspected for dynamics + confirmed for rho
Lutterloh 2012,N,C,suspected for curve; confirmed:suspected (~15%) calibrates rho,incubation ~2 wk,VIOLATED (definitions altered after lab substantiation),incubation GI ~2 wk,CAUTION,harmonize via alpha (empirical),CAUTION,morbidity-dominated,use suspected for dynamics; flag definition change (fortnightly: not in renewal pool)
Hendriksen 2015,N,B,culture-confirmed isolates; epi basis undefined,incubation + culture ~2-3 wk,unknown,N/A,exclude (epi basis undefined),exclude absolute,exclude,morbidity-dominated,genomic isolates only; exclude from impact pools (monthly: not in renewal pool)
"Imanishi 2014, Dzivaresekwa",N,A,PPV (suspected->true; alpha),incubation ~2 wk,holds (only culturing fraction changed),incubation GI ~2 wk,yes,harmonize via alpha,yes,morbidity-dominated,pool as reference (monthly: not in renewal pool)
"Imanishi 2014, Kuwadzana",N,A,PPV (suspected->true; alpha),incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha,yes,morbidity-dominated,pool as reference (monthly: not in renewal pool)
"Walters 2014, Kasese",N,D,perforation rate (~1-3%),incubation + complication ~3-4 wk (severity-filtered),N/A (perforation curve),long ~3-4 wk; reconstruction inappropriate,NO,NO,NO/exclude,real mortality (YLL); perforation stratum,SEPARATE STRATUM with Muyembe (perforation mortality); exclude from %-reduction/theta (monthly anyway)
"Walters 2014, Bundibugyo",N,C,suspected for curve; confirmed:suspected (~20%) calibrates rho,incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha,yes,morbidity-dominated,use suspected for dynamics + confirmed for rho (monthly: not in renewal pool)
Michel 2005,N,C,suspected for curve; confirmed (culture+sero) calibrates rho,incubation ~2 wk,holds,incubation GI ~2 wk,yes,harmonize via alpha,yes,morbidity-dominated,use suspected for dynamics; EXCLUDED from pipeline (eligibility); clean common-source reference
